DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (px2)             0.0321214
Formation Factor (ratio)                16.9433861
Cementation Factor (ratio)              1.9621598
pore density (1/px3)                    0.0002908
Tortuosity (ratio)                      1.2430909
Average Coordination Number             4.742775
Average Throat Radius (px)              2.673661
Average Pore Radius (px)                5.13837
Average Throat Length (px)              15.4859619
Pore to Throat Aspect ratio             3.565485
Specific Surface (1/px)                 0.1543706
Pore Sphericity (ratio)                 0.6998004
Grain Sphericity (ratio)                0.8364815
Average Grain Radius (px)               8.2932272
Relative Young Module (ratio)           0.3068074

__________________________________________________
       ### Functions and distributions ###
__________________________________________________

0.45                                    4.7039852
0.46                                    4.7573233
0.47                                    4.8129287
0.48                                    4.8571801
0.49                                    4.8940039
0.5                                     4.9335527
0.51                                    4.9692574
0.52                                    5.0171337
0.53                                    5.0641136
0.54                                    5.101079
0.55                                    5.1555433
0.56                                    5.2000666
0.57                                    5.2380457
0.58                                    5.2783399
0.59                                    5.3208408
0.6                                     5.3654385
0.61                                    5.414741
0.62                                    5.460494
0.63                                    5.5133576
0.64                                    5.5652266
0.65                                    5.6262202
0.66                                    5.6809921
0.67                                    5.7274599
0.68                                    5.7779565
0.69                                    5.8346066
0.7                                     5.8855867
0.71                                    5.9356985
0.72                                    5.9938517
0.73                                    6.0682354
0.74                                    6.1366158
0.75                                    6.1952224
0.76                                    6.2730293
0.77                                    6.3489523
0.78                                    6.4250298
0.79                                    6.5068741
0.8                                     6.5885434
0.81                                    6.6825233
0.82                                    6.7565446
0.83                                    6.8578649
0.84                                    6.9677691
0.85                                    7.0965033
0.86                                    7.2268286
0.87                                    7.3171167
0.88                                    7.4341402
0.89                                    7.5754271
0.9                                     7.7396302
0.91                                    7.8856459
0.92                                    8.0301495
0.93                                    8.2229366
0.94                                    8.4025784
0.95                                    8.6243496
0.96                                    8.8869534
0.97                                    9.1917562
0.98                                    9.5783873
0.99                                    10.3905602
1.0                                     13.4421177


# Throat Radius Distribution (px)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    0.3728948
0.02                                    0.4619267
0.03                                    0.5106686
0.04                                    0.5447825
0.05                                    0.5733528
0.06                                    0.6777601
0.07                                    0.7201506
0.08                                    0.7524915
0.09                                    0.7743716
0.1                                     0.7986905
0.11                                    0.8772897
0.12                                    0.9125438
0.13                                    0.9390559
0.14                                    0.9611734
0.15                                    0.9868177
0.16                                    1.0583869
0.17                                    1.0862639
0.18                                    1.1063914
0.19                                    1.1265053
0.2                                     1.1909742
0.21                                    1.2227694
0.22                                    1.2460393
0.23                                    1.2630157
0.24                                    1.3169324
0.25                                    1.3511293
0.26                                    1.3759782
0.27                                    1.4178804
0.28                                    1.4491822
0.29                                    1.4776483
0.3                                     1.5074489
0.31                                    1.5527182
0.32                                    1.5777212
0.33                                    1.6092463
0.34                                    1.6535771
0.35                                    1.6827574
0.36                                    1.7176635
0.37                                    1.7547404
0.38                                    1.7815121
0.39                                    1.8260645
0.4                                     1.859441
0.41                                    1.8981667
0.42                                    1.9395452
0.43                                    1.986007
0.44                                    2.0225189
0.45                                    2.0722418
0.46                                    2.1035211
0.47                                    2.150897
0.48                                    2.1850748
0.49                                    2.2447689
0.5                                     2.2948916
0.51                                    2.3418534
0.52                                    2.386409
0.53                                    2.4441173
0.54                                    2.4908144
0.55                                    2.5467656
0.56                                    2.5925074
0.57                                    2.6416857
0.58                                    2.6976767
0.59                                    2.7451606
0.6                                     2.7974594
0.61                                    2.8512435
0.62                                    2.8983064
0.63                                    2.9589505
0.64                                    3.0058625
0.65                                    3.056921
0.66                                    3.1179504
0.67                                    3.1806078
0.68                                    3.2343595
0.69                                    3.2879343
0.7                                     3.3599024
0.71                                    3.419394
0.72                                    3.4874182
0.73                                    3.5445032
0.74                                    3.6118882
0.75                                    3.682451
