DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             1.1405379
Formation Factor (ratio)                14.7386634
Cementation Factor (ratio)              1.9042206
pore density (1/um3)                    1.7e-06
Tortuosity (ratio)                      1.2443834
Average Coordination Number             4.478728
Average Throat Radius (um)              15.0556575
Average Pore Radius (um)                26.9941965
Average Throat Length (um)              85.5445165
Pore to Throat Aspect ratio             3.4341114
Specific Surface (1/um)                 0.0254289
Pore Sphericity (ratio)                 0.7200877
Grain Sphericity (ratio)                0.8562742
Average Grain Radius (um)               45.2546802
Relative Young Module (ratio)           0.3019229

__________________________________________________
       ### Functions and distributions ###
__________________________________________________

0.77                                    7.0689727
0.78                                    7.2901728
0.79                                    7.4613775
0.8                                     8.3572185
0.81                                    7.4058541
0.82                                    7.4336298
0.83                                    8.0431685
0.84                                    8.2446164
0.85                                    8.5772207
0.86                                    8.8545821
0.87                                    8.7445588
0.88                                    8.0950829
0.89                                    8.211266
0.9                                     9.1532598
0.91                                    8.6371326
0.92                                    9.5466103
0.93                                    9.896222
0.94                                    9.7394933
0.95                                    9.9696997
0.96                                    10.537038
0.97                                    11.4569357
0.98                                    12.7031494
0.99                                    12.7845669
1.0                                     20.9816377


# Throat Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    0.3963292
0.02                                    0.5099242
0.03                                    0.6250045
0.04                                    0.6330964
0.05                                    0.7677743
0.06                                    0.8209663
0.07                                    0.9500081
0.08                                    0.9765371
0.09                                    0.8552463
0.1                                     1.0729087
0.11                                    1.1783387
0.12                                    1.2369085
0.13                                    1.089993
0.14                                    1.0610271
0.15                                    1.2109566
0.16                                    1.2828521
0.17                                    1.409317
0.18                                    1.3342221
0.19                                    1.7302932
0.2                                     1.5991735
0.21                                    1.4917224
0.22                                    1.6169311
0.23                                    1.9027088
0.24                                    1.697044
0.25                                    1.7161394
0.26                                    1.6693715
0.27                                    2.1066686
0.28                                    1.989275
0.29                                    2.2669236
0.3                                     2.0780833
0.31                                    2.051392
0.32                                    2.1286838
0.33                                    2.0382379
0.34                                    1.9314838
0.35                                    2.4922289
0.36                                    2.0196498
0.37                                    2.036753
0.38                                    2.4831087
0.39                                    2.2913713
